companyholeid,lat,lon,score_100,treo_max,depth_score
RC1297,-28.861623835519623,122.54584246740517,86.0,437033.0,0.95
MWGC10134,-28.861600205289168,122.54598191028518,85.7,,0.85
MWGC10204,-28.86178126050337,122.54559119643696,85.6,,0.95
MWGC10202,-28.861598683505,122.54559147708008,85.4,,0.95
RC566,-28.86189235447416,122.54573384805012,85.4,,0.5
MWGC10111,-28.861792316836283,122.5459932775408,84.8,,0.95
RC1285,-28.86199559072797,122.54578117946603,84.4,341632.0,0.85
MWGC10207,-28.86196615458657,122.545933362012,84.1,,0.95
RC567,-28.86198290651547,122.54582060678324,84.1,,0.5
MWGC10206,-28.8619671687816,122.54558844054992,83.4,,0.95
RC568,-28.86216342388517,122.54581982281545,83.0,,0.5
MWGC10209,-28.86214114263869,122.54559311880912,82.3,,0.95
RC1304,-28.86126744830304,122.54583037839772,80.3,406758.0,0.95
MWGC10113,-28.86125023001592,122.54599768143144,78.8,,0.95
MWGC10201,-28.86142437745189,122.54580180839618,78.7,,0.95
RC864,-28.8639649767951,122.54742075367646,78.7,315762.0,0.95
MWGC10114,-28.861430863312695,122.5464071250277,78.6,,0.95
RC343,-28.86252588665315,122.5462427326888,78.6,,0.5
MWGC10112,-28.861428768962604,122.545999059539,78.5,,0.95
RC344,-28.86252451037402,122.54583363448806,77.8,,0.5
MWGC10215,-28.86268086083284,122.54592277397408,77.7,,0.85
RC879,-28.86387643661956,122.54793380544078,77.7,376002.0,0.95
MWGC10197,-28.86106256203846,122.5457806178614,77.6,,0.95
MWGC10196,-28.86106348477694,122.5455989290346,77.4,,0.95
RC286,-28.861442785801675,122.5462484573727,77.3,,0.5
RC570,-28.86270497941604,122.54581849617792,77.3,,0.5
RC863,-28.863964632858764,122.5473182213664,77.3,304410.0,0.95
RC292,-28.862706472973617,122.54626245564452,77.1,,0.5
MWGC10106,-28.861252683329035,122.54640512947812,77.0,,0.95
RC1261,-28.86267812842927,122.54575186411958,77.0,276158.0,0.85
RC1311,-28.86093663552848,122.54580064562391,77.0,326841.0,0.95
MWGC10108,-28.86106843657725,122.54599477948832,76.9,,0.95
MWGC10210,-28.862147552316912,122.54596620491364,76.9,,0.95
RC888,-28.8637858343868,122.54783166348436,76.9,331684.42,0.95
MWGC10213,-28.86250853762817,122.54558260211716,76.6,,0.85
RC880,-28.863783083229325,122.54701140641478,76.6,308915.0,0.95
MWGC10136,-28.86214705963352,122.54616050519957,76.4,,0.85
MWGC10037,-28.863867743876614,122.54803330071783,76.1,,1.0
RC569,-28.86234394124997,122.5458190388396,76.1,,0.5
RC1273,-28.86234715641465,122.545755249849,76.0,314686.0,0.85
MWGC10109,-28.860888662974745,122.54600201932836,75.9,,0.95
RC1305,-28.861245548367897,122.54538456568216,75.7,389170.0,0.95
MWGC10212,-28.86233040616504,122.54594090585655,75.5,,0.85
MWGC10193,-28.860873728789564,122.5455955497281,75.3,,0.95
MWGC10216,-28.86289411562431,122.54599177533753,75.3,,0.95
RC341,-28.862886921380717,122.54624116617012,75.3,,0.5
RC166,-28.862345369282167,122.54624351593812,75.2,,0.5
RC867,-28.86396600813631,122.54772835061738,75.1,289813.0,0.95
MWGC10214,-28.862498174005477,122.54594673951097,75.0,,0.85
RC866,-28.863965664433863,122.54762581830192,74.9,276772.0,0.95
